ID,Education,Experience,Income
1,1,1,49
2,1,19,34
3,1,15,11
4,2,9,100
5,2,8,45
6,2,13,29
7,2,27,72
8,3,24,22
9,2,10,81
10,3,9,180
11,3,39,105
12,2,5,45
13,3,23,114
14,2,32,40
15,1,41,112
16,3,30,22
17,3,14,130
18,1,18,81
19,3,21,193
20,2,28,21
21,2,31,25
22,3,27,63
23,1,5,62
24,1,18,43
25,1,11,152
26,1,19,29
27,3,16,83
28,1,20,158
29,3,30,48
30,2,13,119
31,3,35,35
32,2,16,29
33,3,28,41
34,3,6,18
35,3,5,50
36,1,24,81
37,1,35,121
38,3,25,71
39,3,18,141
40,3,13,80
41,3,32,84
42,1,9,60
43,2,7,132
44,1,15,45
45,1,20,104
46,1,31,52
47,2,14,43
48,3,12,194
49,3,26,81
50,1,16,49
51,2,8,8
52,1,37,131
53,1,6,72
54,3,26,190
55,3,5,44
56,1,17,139
57,2,30,29
58,3,31,131
59,1,2,93
60,1,5,188
61,2,24,39
62,1,21,125
63,1,18,22
64,2,17,32
65,1,23,105
66,1,35,131
67,1,36,105
68,3,23,45
69,1,21,60
70,1,29,20
71,1,18,115
72,2,29,69
73,1,20,130
74,3,16,85
75,1,3,135
76,2,7,135
77,3,32,12
78,2,20,29
79,3,30,133
80,1,26,19
81,1,36,41
82,2,22,40
83,3,16,82
84,2,9,50
85,3,22,18
86,3,2,109
87,2,16,42
88,1,22,78
89,1,41,51
90,3,-1,113
91,2,30,118
92,3,10,29
93,2,19,34
94,3,34,64
95,1,39,121
96,3,12,48
97,1,15,80
98,1,28,161
99,1,23,94
100,3,41,15
101,1,23,74
102,2,36,30
103,3,23,44
104,2,18,22
105,1,32,38
106,2,0,35
107,1,17,69
108,1,18,43
109,3,7,32
110,1,17,49
111,2,14,9
112,2,38,45
113,1,15,82
114,1,34,92
115,3,14,39
116,2,40,81
117,2,29,35
118,3,33,61
119,1,16,73
120,1,7,112
121,3,29,12
122,3,26,38
123,2,32,73
124,2,13,84
125,1,15,78
126,1,35,80
127,1,5,115
128,2,8,82
129,1,14,74
130,3,16,70
131,1,4,81
132,2,34,149
133,3,1,51
134,2,4,39
135,2,29,98
136,1,33,45
137,2,32,49
138,1,25,128
139,1,34,42
140,3,35,18
141,3,25,31
142,1,11,58
143,3,9,48
144,1,1,54
145,2,23,70
